,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_AEP_PANW_beta_win,params_AEP_PANW_stop_loss,params_AEP_PANW_trade_freq,params_AEP_PANW_z_entry,params_AEP_PANW_z_exit,params_AEP_PANW_z_stop_scaler,params_AEP_PANW_z_win,params_AMGN_ZS_beta_win,params_AMGN_ZS_stop_loss,params_AMGN_ZS_trade_freq,params_AMGN_ZS_z_entry,params_AMGN_ZS_z_exit,params_AMGN_ZS_z_stop_scaler,params_AMGN_ZS_z_win,params_ATVI_MSFT_beta_win,params_ATVI_MSFT_stop_loss,params_ATVI_MSFT_trade_freq,params_ATVI_MSFT_z_entry,params_ATVI_MSFT_z_exit,params_ATVI_MSFT_z_stop_scaler,params_ATVI_MSFT_z_win,params_BKNG_EA_beta_win,params_BKNG_EA_stop_loss,params_BKNG_EA_trade_freq,params_BKNG_EA_z_entry,params_BKNG_EA_z_exit,params_BKNG_EA_z_stop_scaler,params_BKNG_EA_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_FISV_WDAY_beta_win,params_FISV_WDAY_stop_loss,params_FISV_WDAY_trade_freq,params_FISV_WDAY_z_entry,params_FISV_WDAY_z_exit,params_FISV_WDAY_z_stop_scaler,params_FISV_WDAY_z_win,params_ORLY_VRTX_beta_win,params_ORLY_VRTX_stop_loss,params_ORLY_VRTX_trade_freq,params_ORLY_VRTX_z_entry,params_ORLY_VRTX_z_exit,params_ORLY_VRTX_z_stop_scaler,params_ORLY_VRTX_z_win,params_TEAM_ZS_beta_win,params_TEAM_ZS_stop_loss,params_TEAM_ZS_trade_freq,params_TEAM_ZS_z_entry,params_TEAM_ZS_z_exit,params_TEAM_ZS_z_stop_scaler,params_TEAM_ZS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.10922956134114793,2025-06-15 01:07:55.976379,2025-06-15 01:07:57.158724,0 days 00:00:01.182345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,0.5,3,COMPLETE
1,1,6.765141839234156,2025-06-15 01:07:57.246775,2025-06-15 01:07:58.448380,0 days 00:00:01.201605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,0.3,3,COMPLETE
2,2,-1.8825989813624189,2025-06-15 01:07:58.509448,2025-06-15 01:08:01.618037,0 days 00:00:03.108589,76.0,0.001,3m,2.5,2.5,0.6,388.0,,,,,,,,110.0,0.003,4m,1.0,4.0,1.6,146.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,270,0.008,4m,1.0,1.5,0.5,50,920.0,0.003,3m,2.5,1.0,1.3,360.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,0.2,9,COMPLETE
3,3,-2.1997717581367593,2025-06-15 01:08:01.688116,2025-06-15 01:08:03.593279,0 days 00:00:01.905163,,,,,,,,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,960.0,0.01,4m,2.5,1.5,1.3,260.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,0.05,5,COMPLETE
4,4,2.515936137211305,2025-06-15 01:08:03.665320,2025-06-15 01:08:05.290963,0 days 00:00:01.625643,,,,,,,,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,0.2,5,COMPLETE
5,5,-3.2791071936231235,2025-06-15 01:08:05.368140,2025-06-15 01:08:08.314562,0 days 00:00:02.946422,,,,,,,,,,,,,,,32.0,0.006,1m,3.0,3.5,1.5,220.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,430,0.001,4m,2.5,4.0,0.8,278,974.0,0.008,4m,3.0,4.0,1.8,922.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,0.15000000000000002,8,COMPLETE
6,6,2.1995658262217392,2025-06-15 01:08:08.368810,2025-06-15 01:08:09.849286,0 days 00:00:01.480476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,0.45,4,COMPLETE
7,7,4.308617908139845,2025-06-15 01:08:09.912206,2025-06-15 01:08:11.026028,0 days 00:00:01.113822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,0.1,3,COMPLETE
8,8,5.291264978331471,2025-06-15 01:08:11.085364,2025-06-15 01:08:13.853390,0 days 00:00:02.768026,,,,,,,,,,,,,,,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,338.0,0.005,2m,1.5,3.0,1.4,492.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,,,,,,,,0.05,7,COMPLETE
9,9,2.827335480858816,2025-06-15 01:08:13.935874,2025-06-15 01:08:20.775212,0 days 00:00:06.839338,678.0,0.01,4m,4.0,4.0,2.0,420.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,90,0.004,2m,4.0,1.5,0.9,844,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,0.45,10,COMPLETE
10,10,-100.0,2025-06-15 01:08:20.883225,2025-06-15 01:08:21.579130,0 days 00:00:00.695905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.006,2m,3.0,1.0,2.0,966,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,0.24553251991795857,2025-06-15 01:08:21.641888,2025-06-15 01:08:24.468099,0 days 00:00:02.826211,,,,,,,,,,,,,,,704.0,0.01,4m,1.5,1.0,0.9,768.0,106.0,0.01,3m,4.0,4.0,1.0,926.0,344.0,0.001,1m,2.5,1.0,2.0,968.0,430.0,0.001,3m,3.0,3.0,1.3,992.0,68,0.01,3m,3.0,3.0,1.6,90,46.0,0.001,2m,1.0,2.5,0.5,76.0,32.0,0.003,3m,3.5,2.5,1.5,32.0,,,,,,,,0.3,7,COMPLETE
12,12,3.9854806875104325,2025-06-15 01:08:24.512290,2025-06-15 01:08:27.320228,0 days 00:00:02.807938,,,,,,,,,,,,,,,442.0,0.009000000000000001,4m,2.0,2.0,1.3,34.0,1022.0,0.001,1m,3.0,3.5,0.5,172.0,348.0,0.001,1m,3.0,1.5,2.0,1010.0,64.0,0.007,1m,3.0,4.0,1.6,736.0,178,0.006,2m,3.5,3.0,1.6,244,364.0,0.005,2m,2.0,2.5,0.9,474.0,312.0,0.004,2m,3.5,4.0,0.9,598.0,,,,,,,,0.35000000000000003,7,COMPLETE
13,13,-0.509577810504068,2025-06-15 01:08:27.392530,2025-06-15 01:08:27.917917,0 days 00:00:00.525387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,0.007,2m,3.0,2.5,1.1,454,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
14,14,1.8920483028578567,2025-06-15 01:08:27.962107,2025-06-15 01:08:30.408908,0 days 00:00:02.446801,,,,,,,,,,,,,,,650.0,0.008,2m,4.0,2.0,0.6,644.0,,,,,,,,36.0,0.005,1m,2.0,2.0,1.1,892.0,648.0,0.003,3m,1.0,2.5,1.0,542.0,448,0.01,3m,3.5,3.0,1.6,170,130.0,0.01,1m,4.0,1.5,1.3,188.0,308.0,0.005,4m,1.5,2.5,1.6,246.0,,,,,,,,0.05,6,COMPLETE
15,15,1.016306295939824,2025-06-15 01:08:30.486871,2025-06-15 01:08:31.877417,0 days 00:00:01.390546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.0,0.003,2m,4.0,3.5,1.8,828.0,,,,,,,,188,0.004,2m,2.5,4.0,1.1,380,,,,,,,,540.0,0.002,3m,3.0,3.0,1.9000000000000001,636.0,,,,,,,,0.35000000000000003,3,COMPLETE
16,16,1.964970972956817,2025-06-15 01:08:31.943868,2025-06-15 01:08:34.597074,0 days 00:00:02.653206,,,,,,,,,,,,,,,1002.0,0.001,1m,2.0,1.5,2.0,436.0,422.0,0.009000000000000001,3m,3.0,2.5,1.4,1022.0,412.0,0.008,1m,3.0,3.5,1.4,1016.0,300.0,0.008,1m,3.5,2.5,1.7000000000000002,792.0,28,0.007,3m,4.0,2.0,1.8,22,658.0,0.004,2m,2.0,3.0,1.0,668.0,194.0,0.005,2m,2.0,2.0,1.4,374.0,,,,,,,,0.25,7,COMPLETE
17,17,2.6560200429013263,2025-06-15 01:08:34.666092,2025-06-15 01:08:35.497550,0 days 00:00:00.831458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.0,0.008,2m,2.0,4.0,1.2000000000000002,742.0,,,,,,,,372,0.001,1m,3.5,3.5,1.4,188,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
18,18,2.02341971688749,2025-06-15 01:08:35.556575,2025-06-15 01:08:37.110777,0 days 00:00:01.554202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,0.005,1m,3.0,3.5,1.8,878.0,754.0,0.002,1m,2.0,4.0,1.1,1006.0,630,0.008,3m,3.0,1.5,1.1,142,,,,,,,,688.0,0.001,3m,3.0,4.0,1.0,158.0,,,,,,,,0.3,4,COMPLETE
19,19,4.489614206977982,2025-06-15 01:08:37.181217,2025-06-15 01:08:39.574008,0 days 00:00:02.392791,,,,,,,,,,,,,,,262.0,0.01,4m,1.0,2.5,1.1,678.0,,,,,,,,508.0,0.003,2m,2.0,2.0,1.6,442.0,210.0,0.007,3m,2.5,1.0,2.0,694.0,810,0.01,2m,2.0,3.5,1.5,410,650.0,0.007,1m,1.5,2.0,2.0,372.0,436.0,0.006,2m,3.5,1.0,1.8,690.0,,,,,,,,0.4,6,COMPLETE
20,20,2.897263808252347,2025-06-15 01:08:39.632493,2025-06-15 01:08:42.630505,0 days 00:00:02.998012,,,,,,,,,,,,,,,642.0,0.008,4m,2.0,1.5,1.6,304.0,30.0,0.003,3m,2.5,3.0,2.0,736.0,152.0,0.002,1m,4.0,2.5,1.1,660.0,432.0,0.005,2m,3.5,3.0,1.5,416.0,180,0.005,3m,4.0,2.5,1.8,550,222.0,0.002,3m,3.5,4.0,1.5,658.0,176.0,0.004,4m,2.0,3.0,1.2000000000000002,480.0,38.0,0.01,3m,4.0,4.0,1.9000000000000001,28.0,0.2,8,COMPLETE
21,21,4.120237940745708,2025-06-15 01:08:42.689425,2025-06-15 01:08:44.598332,0 days 00:00:01.908907,,,,,,,,,,,,,,,270.0,0.01,4m,1.0,3.0,1.1,674.0,,,,,,,,492.0,0.002,2m,2.0,2.0,1.6,390.0,194.0,0.007,3m,2.5,1.0,2.0,692.0,794,0.01,2m,2.0,3.5,1.5,394,,,,,,,,386.0,0.006,2m,3.5,1.0,1.8,694.0,,,,,,,,0.4,5,COMPLETE
22,22,2.805276343162837,2025-06-15 01:08:44.669175,2025-06-15 01:08:46.936429,0 days 00:00:02.267254,,,,,,,,,,,,,,,300.0,0.01,4m,1.5,2.5,0.9,954.0,,,,,,,,574.0,0.003,2m,2.0,2.0,1.8,444.0,160.0,0.008,3m,2.0,1.0,1.8,844.0,790,0.009000000000000001,2m,2.0,3.5,1.7000000000000002,580,640.0,0.007,1m,1.5,2.0,2.0,348.0,614.0,0.006,2m,4.0,2.0,1.7000000000000002,894.0,,,,,,,,0.4,6,COMPLETE
23,23,1.1160465423631958,2025-06-15 01:08:46.990262,2025-06-15 01:08:50.082564,0 days 00:00:03.092302,,,,,,,,,,,,,,,274.0,0.008,4m,1.5,2.0,1.3,568.0,812.0,0.008,1m,4.0,2.0,1.2000000000000002,322.0,330.0,0.001,2m,2.5,1.5,1.5,272.0,368.0,0.006,3m,3.5,2.0,2.0,648.0,522,0.01,2m,2.5,3.0,2.0,322,642.0,0.009000000000000001,1m,1.5,2.0,1.9000000000000001,312.0,438.0,0.004,2m,3.0,1.0,1.4,686.0,1024.0,0.006,2m,1.0,2.5,1.3,998.0,0.4,8,COMPLETE
24,24,5.5727856584354205,2025-06-15 01:08:50.126556,2025-06-15 01:08:52.491360,0 days 00:00:02.364804,,,,,,,,,,,,,,,528.0,0.004,4m,1.0,3.0,0.9,800.0,,,,,,,,700.0,0.004,2m,1.5,1.5,1.7000000000000002,270.0,172.0,0.008,4m,2.5,3.0,1.5,434.0,838,0.007,2m,1.5,4.0,1.4,438,480.0,0.006,1m,2.0,3.0,1.6,536.0,192.0,0.006,2m,3.5,2.5,0.8,410.0,,,,,,,,0.3,6,COMPLETE
25,25,4.456911615960084,2025-06-15 01:08:52.580985,2025-06-15 01:08:54.137792,0 days 00:00:01.556807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.0,0.006,2m,1.0,1.0,2.0,84.0,102.0,0.009000000000000001,4m,1.5,3.0,1.4,400.0,298,0.007,2m,1.0,4.0,1.2000000000000002,230,,,,,,,,188.0,0.007,3m,4.0,2.5,0.8,372.0,,,,,,,,0.3,4,COMPLETE
26,26,2.5639017607358245,2025-06-15 01:08:54.201029,2025-06-15 01:08:58.303872,0 days 00:00:04.102843,1016.0,0.005,2m,1.0,1.0,1.5,998.0,942.0,0.002,2m,1.0,4.0,2.0,996.0,782.0,0.004,1m,2.5,3.0,0.8,790.0,292.0,0.004,2m,1.0,4.0,0.7,364.0,648.0,0.009000000000000001,2m,1.5,1.5,1.7000000000000002,232.0,328.0,0.008,4m,3.0,3.5,1.1,466.0,444,0.008,4m,1.5,2.0,0.9,122,408.0,0.005,2m,2.5,3.0,1.6,608.0,130.0,0.01,2m,3.0,3.0,0.5,452.0,938.0,0.01,4m,4.0,2.5,2.0,78.0,0.25,10,COMPLETE
27,27,1.8915687813907067,2025-06-15 01:08:58.351134,2025-06-15 01:09:01.352348,0 days 00:00:03.001214,,,,,,,,,,,,,,,544.0,0.004,3m,1.5,3.0,0.5,878.0,452.0,0.001,3m,2.0,3.0,1.3,764.0,426.0,0.004,1m,3.0,3.0,1.9000000000000001,928.0,540.0,0.004,4m,1.5,2.5,1.5,36.0,200,0.007,1m,3.5,2.5,1.4,484,240.0,0.004,2m,2.0,3.0,1.1,874.0,886.0,0.005,2m,2.0,3.5,0.8,284.0,,,,,,,,0.15000000000000002,7,COMPLETE
28,28,3.163457225809875,2025-06-15 01:09:01.406220,2025-06-15 01:09:02.205239,0 days 00:00:00.799019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,0.004,4m,1.0,4.0,1.9000000000000001,816.0,,,,,,,,898,0.005,2m,1.0,4.0,1.0,610,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
29,29,4.560000541460534,2025-06-15 01:09:02.262728,2025-06-15 01:09:05.849795,0 days 00:00:03.587067,30.0,0.009000000000000001,1m,1.0,4.0,0.5,42.0,,,,,,,,508.0,0.001,2m,2.0,1.5,1.4,490.0,302.0,0.006,3m,3.0,2.0,1.0,382.0,264.0,0.006,3m,1.5,3.5,1.7000000000000002,146.0,758.0,0.009000000000000001,1m,3.5,3.0,1.7000000000000002,332.0,376,0.009000000000000001,3m,2.5,1.5,1.2000000000000002,314,496.0,0.006,1m,3.0,3.5,1.4,526.0,262.0,0.003,3m,3.5,2.5,1.0,554.0,50.0,0.003,3m,1.0,3.0,0.9,720.0,0.3,9,COMPLETE
30,30,4.664665878043357,2025-06-15 01:09:05.910767,2025-06-15 01:09:06.825416,0 days 00:00:00.914649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760.0,0.002,2m,3.5,1.0,1.4,344.0,,,,,,,,120,0.008,3m,3.0,1.0,1.4,516,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
31,31,-0.6413079459769078,2025-06-15 01:09:06.888483,2025-06-15 01:09:07.833331,0 days 00:00:00.944848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788.0,0.002,2m,3.5,1.0,1.4,316.0,,,,,,,,134,0.008,3m,3.0,1.0,1.4,500,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
32,32,4.220631072825287,2025-06-15 01:09:07.895338,2025-06-15 01:09:09.223794,0 days 00:00:01.328456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668.0,0.002,2m,3.0,1.5,1.3,330.0,,,,,,,,306,0.008,3m,3.5,1.0,1.3,518,,,,,,,,100.0,0.001,4m,4.0,2.5,1.2000000000000002,424.0,,,,,,,,0.5,3,COMPLETE
33,33,0.8382420385794186,2025-06-15 01:09:09.278094,2025-06-15 01:09:10.866876,0 days 00:00:01.588782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.0,0.001,2m,3.5,1.0,1.5,158.0,126.0,0.006,4m,2.5,2.0,0.6,518.0,248,0.009000000000000001,3m,3.0,1.5,1.3,436,,,,,,,,468.0,0.003,1m,3.0,3.0,0.7,540.0,,,,,,,,0.25,4,COMPLETE
34,34,5.321366841379166,2025-06-15 01:09:10.933604,2025-06-15 01:09:13.017781,0 days 00:00:02.084177,,,,,,,,,,,,,,,578.0,0.005,4m,3.0,4.0,1.0,354.0,,,,,,,,766.0,0.004,3m,4.0,3.0,1.8,346.0,436.0,0.007,1m,1.0,3.5,1.2000000000000002,602.0,114,0.009000000000000001,4m,2.5,1.0,1.8,362,,,,,,,,248.0,0.006,2m,3.5,2.0,1.0,170.0,,,,,,,,0.2,5,COMPLETE
35,35,6.035778681134362,2025-06-15 01:09:13.081174,2025-06-15 01:09:15.216770,0 days 00:00:02.135596,,,,,,,,,,,,,,,562.0,0.005,4m,3.0,4.0,1.0,340.0,,,,,,,,892.0,0.005,3m,4.0,3.0,1.8,560.0,414.0,0.007,1m,1.0,3.5,1.2000000000000002,606.0,36,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,350,,,,,,,,238.0,0.006,2m,3.5,2.0,1.0,156.0,,,,,,,,0.2,5,COMPLETE
36,36,8.767585150271879,2025-06-15 01:09:15.286330,2025-06-15 01:09:17.243637,0 days 00:00:01.957307,,,,,,,,,,,,,,,422.0,0.005,4m,3.0,4.0,0.9,368.0,,,,,,,,912.0,0.005,3m,4.0,3.0,0.5,522.0,464.0,0.008,1m,1.0,3.5,1.0,596.0,1024,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,360,,,,,,,,242.0,0.006,2m,3.5,2.0,1.0,58.0,,,,,,,,0.2,5,COMPLETE
37,37,4.714819869958117,2025-06-15 01:09:17.303898,2025-06-15 01:09:19.450530,0 days 00:00:02.146632,,,,,,,,,,,,,,,418.0,0.005,4m,3.5,3.5,0.8,560.0,,,,,,,,1016.0,0.005,3m,4.0,3.0,0.5,552.0,526.0,0.008,1m,1.0,4.0,0.9,510.0,1018,0.002,4m,1.5,2.0,1.9000000000000001,278,,,,,,,,234.0,0.007,2m,3.0,1.5,0.9,50.0,,,,,,,,0.2,5,COMPLETE
38,38,3.2504727869280554,2025-06-15 01:09:19.533161,2025-06-15 01:09:21.925289,0 days 00:00:02.392128,,,,,,,,,,,,,,,352.0,0.003,4m,3.5,4.0,0.7,158.0,,,,,,,,938.0,0.006,3m,4.0,2.5,0.5,650.0,682.0,0.009000000000000001,1m,1.5,3.5,0.8,372.0,870,0.006,4m,1.0,2.0,1.9000000000000001,346,790.0,0.008,4m,4.0,1.0,0.7,998.0,620.0,0.005,2m,2.5,2.0,0.7,126.0,,,,,,,,0.15000000000000002,6,COMPLETE
39,39,5.612178313980589,2025-06-15 01:09:22.007360,2025-06-15 01:09:24.109078,0 days 00:00:02.101718,,,,,,,,,,,,,,,762.0,0.004,4m,3.0,3.5,0.9,412.0,,,,,,,,874.0,0.007,3m,4.0,2.5,0.9,498.0,374.0,0.01,4m,1.0,4.0,1.2000000000000002,450.0,726,0.007,4m,1.5,1.5,1.7000000000000002,226,,,,,,,,360.0,0.007,1m,3.5,2.5,1.1,86.0,,,,,,,,0.25,5,COMPLETE
40,40,6.349109708425403,2025-06-15 01:09:24.168115,2025-06-15 01:09:25.944120,0 days 00:00:01.776005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892.0,0.008,3m,4.0,2.5,0.9,492.0,356.0,0.01,2m,1.0,4.0,0.7,302.0,744,0.008,4m,1.5,2.0,2.0,230,,,,,,,,378.0,0.007,1m,3.0,1.5,1.1,100.0,,,,,,,,0.1,4,COMPLETE
41,41,5.742006939115172,2025-06-15 01:09:26.026410,2025-06-15 01:09:27.680832,0 days 00:00:01.654422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.0,0.008,3m,4.0,2.5,0.9,492.0,376.0,0.01,2m,1.0,4.0,0.7,162.0,734,0.009000000000000001,4m,1.5,2.0,2.0,228,,,,,,,,352.0,0.007,1m,3.0,1.5,1.1,86.0,,,,,,,,0.1,4,COMPLETE
42,42,3.589816724984322,2025-06-15 01:09:27.755621,2025-06-15 01:09:28.960039,0 days 00:00:01.204418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928.0,0.009000000000000001,3m,4.0,3.0,0.6,590.0,,,,,,,,934,0.009000000000000001,4m,1.5,2.0,2.0,274,,,,,,,,392.0,0.008,1m,3.0,1.5,1.1,214.0,,,,,,,,0.1,3,COMPLETE
