,number,value,datetime_start,datetime_complete,duration,params_CHTR_SWKS_beta_win,params_CHTR_SWKS_stop_loss,params_CHTR_SWKS_trade_freq,params_CHTR_SWKS_z_entry,params_CHTR_SWKS_z_exit,params_CHTR_SWKS_z_stop_scaler,params_CHTR_SWKS_z_win,params_CMCSA_FISV_beta_win,params_CMCSA_FISV_stop_loss,params_CMCSA_FISV_trade_freq,params_CMCSA_FISV_z_entry,params_CMCSA_FISV_z_exit,params_CMCSA_FISV_z_stop_scaler,params_CMCSA_FISV_z_win,params_CMCSA_SWKS_beta_win,params_CMCSA_SWKS_stop_loss,params_CMCSA_SWKS_trade_freq,params_CMCSA_SWKS_z_entry,params_CMCSA_SWKS_z_exit,params_CMCSA_SWKS_z_stop_scaler,params_CMCSA_SWKS_z_win,params_DLTR_EA_beta_win,params_DLTR_EA_stop_loss,params_DLTR_EA_trade_freq,params_DLTR_EA_z_entry,params_DLTR_EA_z_exit,params_DLTR_EA_z_stop_scaler,params_DLTR_EA_z_win,params_EBAY_TXN_beta_win,params_EBAY_TXN_stop_loss,params_EBAY_TXN_trade_freq,params_EBAY_TXN_z_entry,params_EBAY_TXN_z_exit,params_EBAY_TXN_z_stop_scaler,params_EBAY_TXN_z_win,params_FISV_MAR_beta_win,params_FISV_MAR_stop_loss,params_FISV_MAR_trade_freq,params_FISV_MAR_z_entry,params_FISV_MAR_z_exit,params_FISV_MAR_z_stop_scaler,params_FISV_MAR_z_win,params_ILMN_SWKS_beta_win,params_ILMN_SWKS_stop_loss,params_ILMN_SWKS_trade_freq,params_ILMN_SWKS_z_entry,params_ILMN_SWKS_z_exit,params_ILMN_SWKS_z_stop_scaler,params_ILMN_SWKS_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_OKTA_SBUX_beta_win,params_OKTA_SBUX_stop_loss,params_OKTA_SBUX_trade_freq,params_OKTA_SBUX_z_entry,params_OKTA_SBUX_z_exit,params_OKTA_SBUX_z_stop_scaler,params_OKTA_SBUX_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.5266622953907293,2025-06-15 23:16:54.002010,2025-06-15 23:16:56.923658,0 days 00:00:02.921648,,,,,,,,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,296.0,0.025,10m,1.5,0.9,1.6,248.0,344,0.05,5m,1.3,0.9,1.1,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,-8.21908726749139,2025-06-15 23:16:57.000344,2025-06-15 23:17:05.096370,0 days 00:00:08.096026,40.0,0.05,1m,0.6,0.6,1.1,416.0,576.0,0.025,10m,0.7,1.3,1.1,384.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,488.0,0.05,7m,1.4,1.4,1.6,512.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,,,,,,,,0.3,9,COMPLETE
2,2,0.8538099677581091,2025-06-15 23:17:05.164774,2025-06-15 23:17:12.963318,0 days 00:00:07.798544,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,496.0,0.05,7m,1.5,1.1,1.6,672.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,584,0.025,8m,1.3,0.6,1.6,376,920.0,0.025,9m,0.7,0.7,2.0,608.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,,,,,,,,0.15000000000000002,9,COMPLETE
3,3,-1.9267988314441327,2025-06-15 23:17:13.038607,2025-06-15 23:17:16.421857,0 days 00:00:03.383250,600.0,0.05,10m,0.9,1.3,1.5,224.0,848.0,0.025,6m,0.9,1.3,1.1,672.0,,,,,,,,144.0,0.05,4m,0.5,0.7,1.5,632.0,264,0.05,10m,1.5,0.5,1.6,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
4,4,-1.7196585838038225,2025-06-15 23:17:16.500179,2025-06-15 23:17:23.781069,0 days 00:00:07.280890,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,816.0,0.05,7m,1.5,1.3,2.0,1008.0,864.0,0.05,2m,1.4,0.9,2.0,168.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,392.0,0.025,5m,1.4,0.8,1.1,144.0,,,,,,,,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,,,,,,,,0.4,8,COMPLETE
5,5,-8.547307805534242,2025-06-15 23:17:23.876480,2025-06-15 23:17:29.493690,0 days 00:00:05.617210,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,,,,,,,,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,792,0.025,5m,1.5,1.0,1.6,528,,,,,,,,,,,,,,,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,,,,,,,,0.35000000000000003,6,COMPLETE
6,6,2.3245846351573745,2025-06-15 23:17:29.654775,2025-06-15 23:17:33.670163,0 days 00:00:04.015388,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,,,,,,,,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,608,0.05,2m,1.4,1.5,1.3,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
7,7,-0.0876115978838166,2025-06-15 23:17:33.761765,2025-06-15 23:17:37.760357,0 days 00:00:03.998592,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,,,,,,,,264.0,0.025,5m,1.3,0.6,1.5,240.0,392,0.05,7m,0.6,1.2000000000000002,1.1,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
8,8,-1.725047472231303,2025-06-15 23:17:37.888789,2025-06-15 23:17:39.966397,0 days 00:00:02.077608,,,,,,,,,,,,,,,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-0.9345659496101641,2025-06-15 23:17:40.060542,2025-06-15 23:17:46.760487,0 days 00:00:06.699945,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,344.0,0.025,10m,0.7,1.0,1.5,40.0,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,560,0.025,4m,0.5,0.6,1.3,528,,,,,,,,,,,,,,,264.0,0.025,6m,0.8,0.9,1.1,536.0,584.0,0.025,1m,1.3,0.8,1.1,744.0,,,,,,,,0.1,7,COMPLETE
10,10,-2.200038062521248,2025-06-15 23:17:46.834713,2025-06-15 23:17:48.026273,0 days 00:00:01.191560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.05,2m,0.9,1.5,1.3,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
11,11,0.7764283357971855,2025-06-15 23:17:48.087909,2025-06-15 23:17:58.176412,0 days 00:00:10.088503,984.0,0.025,2m,1.5,0.9,1.3,1024.0,616.0,0.05,7m,1.5,1.5,1.5,864.0,24.0,0.05,9m,0.5,0.5,1.1,496.0,560.0,0.05,8m,1.0,1.5,1.1,872.0,632,0.025,8m,1.3,1.5,1.4000000000000001,280,1016.0,0.025,9m,0.5,0.5,2.0,936.0,800.0,0.05,7m,0.5,1.5,1.2000000000000002,24.0,728.0,0.05,3m,1.3,1.5,1.4000000000000001,48.0,456.0,0.05,9m,1.1,1.5,1.6,200.0,912.0,0.05,6m,0.5,0.7,1.9000000000000001,520.0,0.15000000000000002,10,COMPLETE
12,12,0.4985205991016457,2025-06-15 23:17:58.250829,2025-06-15 23:18:03.550565,0 days 00:00:05.299736,280.0,0.05,5m,1.2000000000000002,0.9,1.1,656.0,752.0,0.05,4m,1.0,0.9,1.7000000000000002,600.0,,,,,,,,576.0,0.05,9m,1.0,1.1,2.0,736.0,880,0.025,8m,1.2000000000000002,1.2000000000000002,1.9000000000000001,272,,,,,,,,,,,,,,,72.0,0.05,10m,1.2000000000000002,1.5,1.1,104.0,,,,,,,,,,,,,,,0.45,5,COMPLETE
13,13,-0.907861651366353,2025-06-15 23:18:03.634387,2025-06-15 23:18:09.519218,0 days 00:00:05.884831,304.0,0.025,4m,0.8,0.8,1.6,40.0,448.0,0.05,5m,1.2000000000000002,1.5,1.4000000000000001,808.0,,,,,,,,424.0,0.05,8m,0.7,0.5,1.8000000000000003,432.0,488,0.05,2m,1.4,1.3,1.4000000000000001,760,,,,,,,,,,,,,,,1024.0,0.025,3m,1.1,1.3,1.6,288.0,528.0,0.05,3m,1.1,0.5,1.9000000000000001,296.0,,,,,,,,0.2,6,COMPLETE
14,14,1.1235745821744685,2025-06-15 23:18:09.593730,2025-06-15 23:18:19.604843,0 days 00:00:10.011113,792.0,0.05,7m,1.3,1.1,1.3,856.0,752.0,0.05,9m,0.5,0.8,1.7000000000000002,480.0,376.0,0.025,2m,1.2000000000000002,0.8,1.1,624.0,680.0,0.05,4m,0.5,0.9,1.7000000000000002,824.0,728,0.025,3m,1.1,0.5,1.8000000000000003,352,1008.0,0.025,8m,0.7,1.0,2.0,704.0,440.0,0.025,7m,1.5,1.4,1.2000000000000002,568.0,512.0,0.05,5m,0.5,1.2000000000000002,2.0,320.0,840.0,0.05,9m,1.5,1.2000000000000002,1.4000000000000001,408.0,24.0,0.025,10m,1.5,1.5,1.1,1016.0,0.2,10,COMPLETE
15,15,-2.619530083072292,2025-06-15 23:18:19.678962,2025-06-15 23:18:26.759184,0 days 00:00:07.080222,784.0,0.025,7m,1.2000000000000002,1.5,1.4000000000000001,920.0,752.0,0.05,9m,0.5,0.8,1.9000000000000001,440.0,504.0,0.025,2m,1.3,0.6,1.4000000000000001,680.0,736.0,0.025,4m,0.5,0.8,1.7000000000000002,776.0,776,0.05,3m,0.8,1.0,2.0,56,,,,,,,,,,,,,,,648.0,0.025,5m,0.5,1.2000000000000002,2.0,760.0,1008.0,0.05,2m,1.5,1.4,1.3,536.0,,,,,,,,0.4,7,COMPLETE
16,16,-58.4069770679826,2025-06-15 23:18:26.853473,2025-06-15 23:18:31.070115,0 days 00:00:04.216642,112.0,0.05,2m,0.8,1.1,1.3,768.0,1000.0,0.025,1m,0.5,0.8,1.3,520.0,,,,,,,,664.0,0.05,6m,1.1,0.5,1.3,1016.0,944,0.05,3m,1.1,1.4,1.9000000000000001,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,4,COMPLETE
17,17,-0.43433417932941343,2025-06-15 23:18:31.137662,2025-06-15 23:18:40.037196,0 days 00:00:08.899534,456.0,0.025,3m,1.3,1.1,1.8000000000000003,832.0,768.0,0.05,9m,0.9,0.8,1.7000000000000002,992.0,448.0,0.025,4m,1.1,0.8,1.4000000000000001,104.0,680.0,0.05,4m,0.9,0.8,1.1,704.0,704,0.025,9m,1.0,0.8,1.8000000000000003,384,24.0,0.05,8m,0.9,1.2000000000000002,1.6,1024.0,360.0,0.025,2m,1.5,1.1,2.0,1000.0,576.0,0.05,5m,0.7,0.5,1.8000000000000003,344.0,760.0,0.05,6m,0.5,1.3,1.8000000000000003,64.0,16.0,0.025,10m,1.5,1.5,1.1,1008.0,0.4,10,COMPLETE
18,18,-41.03349285480643,2025-06-15 23:18:40.090791,2025-06-15 23:18:41.911115,0 days 00:00:01.820324,,,,,,,,,,,,,,,,,,,,,,480.0,0.025,7m,1.2000000000000002,1.0,1.6,872.0,480,0.05,1m,0.7,1.1,1.4000000000000001,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
19,19,-6.715211419401484,2025-06-15 23:18:41.982739,2025-06-15 23:18:47.119862,0 days 00:00:05.137123,456.0,0.05,7m,1.0,0.5,1.5,640.0,664.0,0.05,4m,0.8,0.5,1.8000000000000003,216.0,,,,,,,,784.0,0.05,4m,1.5,1.3,1.3,880.0,864,0.025,3m,1.1,0.5,1.2000000000000002,856,,,,,,,,,,,,,,,32.0,0.05,1m,0.5,1.2000000000000002,2.0,408.0,,,,,,,,,,,,,,,0.5,5,COMPLETE
20,20,2.780978300321913,2025-06-15 23:18:47.203950,2025-06-15 23:18:54.554498,0 days 00:00:07.350548,760.0,0.025,7m,1.2000000000000002,1.5,1.3,992.0,912.0,0.025,4m,0.5,1.2000000000000002,1.3,560.0,272.0,0.025,2m,1.1,0.7,1.3,744.0,1016.0,0.05,4m,0.6,0.8,1.7000000000000002,624.0,664,0.025,2m,1.4,1.4,1.5,384,,,,,,,,,,,,,,,904.0,0.025,2m,0.7,1.3,1.8000000000000003,664.0,744.0,0.05,4m,0.9,1.2000000000000002,1.3,520.0,,,,,,,,0.35000000000000003,7,COMPLETE
21,21,0.4703429876565643,2025-06-15 23:18:54.631746,2025-06-15 23:19:02.701022,0 days 00:00:08.069276,776.0,0.025,7m,1.2000000000000002,1.5,1.3,1016.0,888.0,0.025,4m,0.5,1.4,1.3,544.0,320.0,0.025,2m,1.1,0.7,1.3,768.0,920.0,0.05,4m,0.6,0.8,1.7000000000000002,608.0,696,0.025,2m,1.4,1.4,1.5,368,776.0,0.025,10m,1.0,1.0,1.8000000000000003,624.0,,,,,,,,912.0,0.025,2m,0.7,1.3,1.8000000000000003,656.0,784.0,0.05,4m,0.8,1.2000000000000002,1.3,520.0,,,,,,,,0.35000000000000003,8,COMPLETE
22,22,-2.237039428151571,2025-06-15 23:19:02.784871,2025-06-15 23:19:09.925767,0 days 00:00:07.140896,776.0,0.025,7m,1.1,1.4,1.2000000000000002,904.0,864.0,0.025,4m,0.6,1.1,1.3,792.0,288.0,0.025,5m,1.3,1.5,1.2000000000000002,776.0,1024.0,0.05,4m,0.5,0.7,1.7000000000000002,32.0,640,0.025,2m,1.4,1.4,1.7000000000000002,632,,,,,,,,,,,,,,,480.0,0.025,2m,0.7,1.1,1.8000000000000003,760.0,752.0,0.05,4m,0.9,1.1,1.1,504.0,,,,,,,,0.35000000000000003,7,COMPLETE
23,23,-1.179079288345863,2025-06-15 23:19:09.997776,2025-06-15 23:19:19.043528,0 days 00:00:09.045752,872.0,0.025,2m,1.3,1.1,1.4000000000000001,696.0,664.0,0.025,9m,0.6,1.2000000000000002,1.4000000000000001,464.0,584.0,0.025,1m,0.9,0.8,1.5,440.0,616.0,0.05,4m,0.6,0.9,1.8000000000000003,784.0,784,0.025,2m,1.2000000000000002,1.5,1.5,408,720.0,0.05,8m,0.5,1.5,1.2000000000000002,312.0,1000.0,0.025,4m,1.5,1.1,1.1,848.0,856.0,0.025,8m,0.5,1.3,2.0,448.0,848.0,0.05,7m,1.3,0.9,1.4000000000000001,392.0,,,,,,,,0.2,9,COMPLETE
24,24,-1.0294589093592343,2025-06-15 23:19:19.136401,2025-06-15 23:19:22.364030,0 days 00:00:03.227629,,,,,,,,864.0,0.025,4m,0.5,0.9,1.6,592.0,,,,,,,,712.0,0.05,1m,0.8,0.6,1.6,672.0,448,0.025,9m,1.5,1.3,1.3,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,3,COMPLETE
25,25,-0.31525979027231676,2025-06-15 23:19:22.457685,2025-06-15 23:19:30.693569,0 days 00:00:08.235884,688.0,0.025,7m,1.0,0.7,1.1,920.0,944.0,0.025,3m,0.8,1.4,2.0,896.0,352.0,0.025,2m,1.2000000000000002,0.5,1.2000000000000002,840.0,840.0,0.05,7m,0.6,1.0,1.9000000000000001,808.0,568,0.025,4m,1.1,1.3,1.7000000000000002,160,232.0,0.025,4m,0.8,1.1,1.4000000000000001,816.0,,,,,,,,600.0,0.025,9m,0.8,0.9,1.6,208.0,656.0,0.05,5m,1.0,1.3,1.7000000000000002,656.0,,,,,,,,0.45,8,COMPLETE
26,26,-3.9750943847754328,2025-06-15 23:19:30.789530,2025-06-15 23:19:36.722271,0 days 00:00:05.932741,184.0,0.05,4m,1.3,1.3,1.3,864.0,760.0,0.025,8m,0.6,1.2000000000000002,1.2000000000000002,736.0,,,,,,,,496.0,0.05,9m,0.9,0.8,1.4000000000000001,600.0,880,0.05,6m,0.9,1.1,1.2000000000000002,312,,,,,,,,,,,,,,,1008.0,0.05,2m,0.9,1.1,1.9000000000000001,736.0,896.0,0.05,10m,0.8,1.5,1.2000000000000002,152.0,,,,,,,,0.35000000000000003,6,COMPLETE
27,27,-15.564103790965385,2025-06-15 23:19:36.827031,2025-06-15 23:19:41.816998,0 days 00:00:04.989967,536.0,0.025,10m,1.5,1.0,2.0,984.0,672.0,0.05,1m,0.8,0.7,1.4000000000000001,360.0,,,,,,,,640.0,0.025,6m,1.1,0.7,1.7000000000000002,936.0,664,0.025,1m,1.4,1.4,1.5,616,,,,,,,,,,,,,,,752.0,0.05,5m,0.6,1.4,1.7000000000000002,488.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
28,28,1.2120253528100866,2025-06-15 23:19:41.898705,2025-06-15 23:19:51.346772,0 days 00:00:09.448067,416.0,0.025,3m,1.1,1.2000000000000002,1.6,720.0,800.0,0.025,5m,1.1,1.0,1.2000000000000002,632.0,648.0,0.025,3m,0.9,1.1,1.3,648.0,1024.0,0.05,5m,0.8,1.1,1.5,488.0,760,0.05,3m,1.3,0.9,1.8000000000000003,192,696.0,0.05,6m,1.2000000000000002,0.9,1.8000000000000003,752.0,48.0,0.025,6m,1.2000000000000002,0.5,1.5,672.0,424.0,0.025,7m,0.6,1.1,1.9000000000000001,128.0,664.0,0.05,9m,1.1,1.1,1.5,376.0,32.0,0.025,10m,1.5,1.5,1.1,1016.0,0.15000000000000002,10,COMPLETE
29,29,1.4595420300431188,2025-06-15 23:19:51.415501,2025-06-15 23:19:54.459245,0 days 00:00:03.043744,,,,,,,,928.0,0.025,5m,1.2000000000000002,1.0,1.2000000000000002,624.0,,,,,,,,1024.0,0.05,5m,0.8,1.1,1.2000000000000002,472.0,336,0.05,5m,1.3,0.9,1.2000000000000002,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
30,30,-0.6687362580739784,2025-06-15 23:19:54.550330,2025-06-15 23:19:57.745270,0 days 00:00:03.194940,,,,,,,,1024.0,0.025,5m,1.3,1.2000000000000002,1.2000000000000002,760.0,,,,,,,,888.0,0.025,2m,0.9,1.1,1.2000000000000002,384.0,304,0.05,5m,1.5,0.9,1.1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
31,31,1.6962986267449698,2025-06-15 23:19:57.812725,2025-06-15 23:19:59.928137,0 days 00:00:02.115412,,,,,,,,,,,,,,,,,,,,,,1024.0,0.05,5m,0.8,1.2000000000000002,1.2000000000000002,464.0,160,0.05,5m,1.3,0.9,1.2000000000000002,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
32,32,1.1153509696719108,2025-06-15 23:20:00.034363,2025-06-15 23:20:02.214999,0 days 00:00:02.180636,,,,,,,,,,,,,,,,,,,,,,984.0,0.05,5m,0.8,1.3,1.2000000000000002,536.0,152,0.05,5m,1.3,0.8,1.2000000000000002,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
33,33,0.24644928574924493,2025-06-15 23:20:02.295714,2025-06-15 23:20:03.410483,0 days 00:00:01.114769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,0.05,5m,1.4,1.0,1.2000000000000002,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
34,34,0.8442221722736821,2025-06-15 23:20:03.483426,2025-06-15 23:20:06.505705,0 days 00:00:03.022279,,,,,,,,936.0,0.025,2m,1.1,1.5,1.3,920.0,,,,,,,,976.0,0.05,5m,0.7,1.2000000000000002,1.3,416.0,104,0.05,5m,1.3,1.1,1.3,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
35,35,1.4208311169819856,2025-06-15 23:20:06.568920,2025-06-15 23:20:10.395869,0 days 00:00:03.826949,192.0,0.025,9m,0.8,0.6,1.2000000000000002,560.0,928.0,0.025,5m,1.3,1.4,1.1,560.0,,,,,,,,816.0,0.05,5m,0.9,1.2000000000000002,1.1,320.0,200,0.05,2m,1.2000000000000002,0.8,1.1,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
36,36,0.004213504954760427,2025-06-15 23:20:10.470563,2025-06-15 23:20:12.249226,0 days 00:00:01.778663,,,,,,,,,,,,,,,,,,,,,,56.0,0.05,5m,1.1,1.5,1.2000000000000002,448.0,336,0.05,5m,1.5,0.7,1.4000000000000001,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
37,37,-0.9186999144149574,2025-06-15 23:20:12.338889,2025-06-15 23:20:15.250665,0 days 00:00:02.911776,,,,,,,,16.0,0.025,6m,1.0,0.9,1.4000000000000001,832.0,,,,,,,,272.0,0.05,10m,0.6,1.4,1.3,672.0,232,0.05,6m,1.4,0.9,1.2000000000000002,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
