,number,value,datetime_start,datetime_complete,duration,params_AAPL_XEL_beta_win,params_AAPL_XEL_stop_loss,params_AAPL_XEL_trade_freq,params_AAPL_XEL_z_entry,params_AAPL_XEL_z_exit,params_AAPL_XEL_z_stop_scaler,params_AAPL_XEL_z_win,params_ADI_AMZN_beta_win,params_ADI_AMZN_stop_loss,params_ADI_AMZN_trade_freq,params_ADI_AMZN_z_entry,params_ADI_AMZN_z_exit,params_ADI_AMZN_z_stop_scaler,params_ADI_AMZN_z_win,params_AMGN_JD_beta_win,params_AMGN_JD_stop_loss,params_AMGN_JD_trade_freq,params_AMGN_JD_z_entry,params_AMGN_JD_z_exit,params_AMGN_JD_z_stop_scaler,params_AMGN_JD_z_win,params_ANSS_GOOGL_beta_win,params_ANSS_GOOGL_stop_loss,params_ANSS_GOOGL_trade_freq,params_ANSS_GOOGL_z_entry,params_ANSS_GOOGL_z_exit,params_ANSS_GOOGL_z_stop_scaler,params_ANSS_GOOGL_z_win,params_ATVI_MCHP_beta_win,params_ATVI_MCHP_stop_loss,params_ATVI_MCHP_trade_freq,params_ATVI_MCHP_z_entry,params_ATVI_MCHP_z_exit,params_ATVI_MCHP_z_stop_scaler,params_ATVI_MCHP_z_win,params_BIIB_CMCSA_beta_win,params_BIIB_CMCSA_stop_loss,params_BIIB_CMCSA_trade_freq,params_BIIB_CMCSA_z_entry,params_BIIB_CMCSA_z_exit,params_BIIB_CMCSA_z_stop_scaler,params_BIIB_CMCSA_z_win,params_BIIB_MELI_beta_win,params_BIIB_MELI_stop_loss,params_BIIB_MELI_trade_freq,params_BIIB_MELI_z_entry,params_BIIB_MELI_z_exit,params_BIIB_MELI_z_stop_scaler,params_BIIB_MELI_z_win,params_BIIB_MTCH_beta_win,params_BIIB_MTCH_stop_loss,params_BIIB_MTCH_trade_freq,params_BIIB_MTCH_z_entry,params_BIIB_MTCH_z_exit,params_BIIB_MTCH_z_stop_scaler,params_BIIB_MTCH_z_win,params_CHTR_MTCH_beta_win,params_CHTR_MTCH_stop_loss,params_CHTR_MTCH_trade_freq,params_CHTR_MTCH_z_entry,params_CHTR_MTCH_z_exit,params_CHTR_MTCH_z_stop_scaler,params_CHTR_MTCH_z_win,params_COST_PANW_beta_win,params_COST_PANW_stop_loss,params_COST_PANW_trade_freq,params_COST_PANW_z_entry,params_COST_PANW_z_exit,params_COST_PANW_z_stop_scaler,params_COST_PANW_z_win,params_CPRT_WDAY_beta_win,params_CPRT_WDAY_stop_loss,params_CPRT_WDAY_trade_freq,params_CPRT_WDAY_z_entry,params_CPRT_WDAY_z_exit,params_CPRT_WDAY_z_stop_scaler,params_CPRT_WDAY_z_win,params_FISV_INTC_beta_win,params_FISV_INTC_stop_loss,params_FISV_INTC_trade_freq,params_FISV_INTC_z_entry,params_FISV_INTC_z_exit,params_FISV_INTC_z_stop_scaler,params_FISV_INTC_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_MCHP_NXPI_beta_win,params_MCHP_NXPI_stop_loss,params_MCHP_NXPI_trade_freq,params_MCHP_NXPI_z_entry,params_MCHP_NXPI_z_exit,params_MCHP_NXPI_z_stop_scaler,params_MCHP_NXPI_z_win,params_MSFT_ODFL_beta_win,params_MSFT_ODFL_stop_loss,params_MSFT_ODFL_trade_freq,params_MSFT_ODFL_z_entry,params_MSFT_ODFL_z_exit,params_MSFT_ODFL_z_stop_scaler,params_MSFT_ODFL_z_win,params_MTCH_OKTA_beta_win,params_MTCH_OKTA_stop_loss,params_MTCH_OKTA_trade_freq,params_MTCH_OKTA_z_entry,params_MTCH_OKTA_z_exit,params_MTCH_OKTA_z_stop_scaler,params_MTCH_OKTA_z_win,params_MTCH_SWKS_beta_win,params_MTCH_SWKS_stop_loss,params_MTCH_SWKS_trade_freq,params_MTCH_SWKS_z_entry,params_MTCH_SWKS_z_exit,params_MTCH_SWKS_z_stop_scaler,params_MTCH_SWKS_z_win,params_MTCH_ZM_beta_win,params_MTCH_ZM_stop_loss,params_MTCH_ZM_trade_freq,params_MTCH_ZM_z_entry,params_MTCH_ZM_z_exit,params_MTCH_ZM_z_stop_scaler,params_MTCH_ZM_z_win,params_PEP_XEL_beta_win,params_PEP_XEL_stop_loss,params_PEP_XEL_trade_freq,params_PEP_XEL_z_entry,params_PEP_XEL_z_exit,params_PEP_XEL_z_stop_scaler,params_PEP_XEL_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.6978393435749694,2025-06-21 19:04:37.411936,2025-06-21 19:04:48.678653,0 days 00:00:11.266717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,,,,,,,,,,,,,,,1496.0,0.01,3m,1.8,0.2,1.5,624.0,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3184.0,0.02,5m,1.2,0.0,1.5,920.0,,,,,,,,6816.0,0.01,4m,1.6,0.0,0.5,400.0,,,,,,,,,,,,,,,3344,0.015,5m,2.6,0.4,0.5,528,,,,,,,,0.05,6,COMPLETE
1,1,-1.7188493881548852,2025-06-21 19:04:48.694639,2025-06-21 19:04:50.284210,0 days 00:00:01.589571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6800.0,0.015,1m,2.8,0.6000000000000001,1.5,552.0,,,,,,,,,,,,,,,7768.0,0.015,2m,2.2,0.6000000000000001,1.0,816.0,1640.0,0.01,2m,2.6,1.0,2.0,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960.0,0.015,4m,3.0,0.2,0.5,104.0,,,,,,,,6528.0,0.01,2m,1.4,0.6000000000000001,1.5,80.0,,,,,,,,,,,,,,,5968,0.015,1m,1.6,1.0,2.0,752,,,,,,,,0.5,6,COMPLETE
2,2,-0.0202826770613426,2025-06-21 19:04:50.345280,2025-06-21 19:04:51.159400,0 days 00:00:00.814120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8112.0,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,0.01,2m,2.0,0.6000000000000001,0.5,416,,,,,,,,0.1,2,COMPLETE
3,3,0.5769970136906758,2025-06-21 19:04:51.211753,2025-06-21 19:04:57.930354,0 days 00:00:06.718601,1600.0,0.01,3m,1.4,0.6000000000000001,0.5,584.0,5592.0,0.015,4m,2.8,0.6000000000000001,1.0,904.0,3408.0,0.02,4m,2.8,0.2,1.5,184.0,,,,,,,,4720.0,0.015,5m,1.0,0.2,2.0,872.0,6400.0,0.015,4m,1.4,0.6000000000000001,0.5,912.0,1416.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,2624.0,0.015,2m,3.0,0.2,2.0,792.0,5032.0,0.01,1m,1.0,0.4,2.0,216.0,,,,,,,,1760.0,0.015,1m,2.4000000000000004,0.8,1.0,760.0,,,,,,,,1848.0,0.02,5m,3.0,1.0,1.5,568.0,7832.0,0.015,5m,2.8,0.6000000000000001,1.0,600.0,6264.0,0.015,5m,2.0,0.6000000000000001,2.0,1000.0,5928.0,0.015,5m,1.4,0.6000000000000001,0.5,968.0,3072.0,0.015,3m,1.4,0.0,0.5,664.0,2128.0,0.015,2m,3.0,0.6000000000000001,1.0,288.0,6976,0.015,4m,2.0,0.4,2.0,192,6264.0,0.01,4m,1.4,0.6000000000000001,2.0,456.0,0.15000000000000002,17,COMPLETE
4,4,0.5536413163761199,2025-06-21 19:04:58.012764,2025-06-21 19:05:01.538334,0 days 00:00:03.525570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8136.0,0.01,5m,1.0,0.8,0.5,720.0,,,,,,,,,,,,,,,1320.0,0.02,2m,2.0,0.2,0.5,312.0,6824.0,0.02,4m,2.4000000000000004,0.4,1.0,536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7288.0,0.015,4m,3.0,0.6000000000000001,1.0,264.0,5984.0,0.01,5m,1.0,0.6000000000000001,1.5,224.0,3520.0,0.02,2m,2.2,0.8,1.5,776.0,,,,,,,,7248.0,0.02,2m,3.0,0.0,2.0,496.0,3952,0.015,3m,2.2,0.6000000000000001,1.0,792,,,,,,,,0.35000000000000003,8,COMPLETE
5,5,0.4587176292148241,2025-06-21 19:05:01.611840,2025-06-21 19:05:05.617794,0 days 00:00:04.005954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3568.0,0.02,2m,1.6,0.8,1.5,216.0,,,,,,,,,,,,,,,6360.0,0.02,5m,2.2,0.2,1.0,680.0,4528.0,0.015,3m,2.0,0.0,2.0,608.0,,,,,,,,2008.0,0.015,5m,3.0,0.8,1.5,376.0,,,,,,,,,,,,,,,3376.0,0.02,4m,1.2,0.4,2.0,624.0,8048.0,0.02,3m,2.6,1.0,0.5,1016.0,3320.0,0.015,1m,1.2,0.6000000000000001,0.5,520.0,,,,,,,,2672.0,0.02,2m,1.4,0.8,1.0,992.0,8016,0.015,4m,1.4,0.2,0.5,152,6504.0,0.01,5m,3.0,0.6000000000000001,1.5,552.0,0.25,10,COMPLETE
6,6,0.1972803093169916,2025-06-21 19:05:05.676609,2025-06-21 19:05:08.557182,0 days 00:00:02.880573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3416.0,0.02,5m,2.6,0.2,2.0,800.0,,,,,,,,,,,,,,,7600.0,0.01,5m,2.4000000000000004,0.4,1.0,928.0,3112.0,0.01,4m,1.4,0.0,1.5,312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6376.0,0.015,2m,3.0,0.2,2.0,216.0,2264.0,0.02,2m,3.0,0.0,1.5,944.0,5408.0,0.02,5m,1.0,1.0,1.5,200.0,,,,,,,,,,,,,,,4840,0.015,5m,1.6,0.8,1.5,416,,,,,,,,0.4,7,COMPLETE
7,7,-1.2845256943387486,2025-06-21 19:05:08.626437,2025-06-21 19:05:12.608410,0 days 00:00:03.981973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6824.0,0.01,1m,1.0,0.0,0.5,568.0,,,,,,,,,,,,,,,2296.0,0.02,1m,1.6,0.4,2.0,984.0,2712.0,0.01,1m,3.0,0.8,0.5,952.0,,,,,,,,2792.0,0.015,5m,2.6,0.0,1.0,280.0,,,,,,,,,,,,,,,1784.0,0.015,4m,2.4000000000000004,0.4,1.5,528.0,7808.0,0.01,5m,1.2,0.0,1.5,320.0,5680.0,0.015,4m,2.8,0.2,0.5,784.0,,,,,,,,2128.0,0.02,2m,1.8,1.0,1.5,96.0,2632,0.01,5m,2.2,0.2,1.5,528,3344.0,0.02,1m,1.0,0.0,0.5,472.0,0.5,10,COMPLETE
8,8,0.9355542823596,2025-06-21 19:05:12.673786,2025-06-21 19:05:19.997513,0 days 00:00:07.323727,7784.0,0.02,2m,3.0,0.2,2.0,408.0,2232.0,0.02,2m,1.6,0.4,2.0,120.0,2272.0,0.02,1m,1.8,0.8,2.0,448.0,2456.0,0.015,3m,1.6,0.4,0.5,496.0,1184.0,0.01,1m,2.6,0.6000000000000001,1.5,760.0,5056.0,0.015,4m,1.8,0.2,1.5,888.0,4688.0,0.02,4m,2.4000000000000004,0.2,1.0,240.0,6856.0,0.02,5m,1.8,1.0,1.5,184.0,7320.0,0.015,1m,1.6,0.0,1.5,808.0,,,,,,,,3296.0,0.01,5m,2.4000000000000004,0.8,1.0,944.0,,,,,,,,3040.0,0.01,2m,2.6,0.4,1.0,72.0,5856.0,0.02,5m,1.2,0.6000000000000001,2.0,992.0,1272.0,0.02,4m,3.0,1.0,1.5,568.0,5368.0,0.015,4m,2.0,0.0,1.5,384.0,4152.0,0.02,2m,3.0,0.2,0.5,424.0,4448.0,0.02,1m,1.2,0.8,2.0,248.0,6416,0.015,2m,1.0,0.6000000000000001,1.0,960,6040.0,0.02,3m,1.4,0.6000000000000001,0.5,128.0,0.15000000000000002,18,COMPLETE
9,9,-1.4496847322255317,2025-06-21 19:05:20.089965,2025-06-21 19:05:22.342437,0 days 00:00:02.252472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2824.0,0.02,3m,1.2,0.6000000000000001,1.0,176.0,1752.0,0.02,4m,1.8,0.2,1.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8168.0,0.02,1m,3.0,0.8,2.0,832.0,,,,,,,,3440.0,0.02,3m,1.0,0.0,0.5,648.0,,,,,,,,,,,,,,,6392,0.02,5m,1.0,0.2,0.5,608,,,,,,,,0.25,5,COMPLETE
10,10,-0.9992725550740673,2025-06-21 19:05:22.409432,2025-06-21 19:05:30.586964,0 days 00:00:08.177532,7840.0,0.02,2m,3.0,0.0,2.0,80.0,1200.0,0.02,2m,1.2,0.0,2.0,64.0,1256.0,0.02,1m,1.2,1.0,2.0,744.0,2096.0,0.015,3m,1.6,0.4,0.5,496.0,1232.0,0.01,3m,2.4000000000000004,1.0,1.0,216.0,2616.0,0.015,2m,2.6,0.0,2.0,720.0,6488.0,0.02,1m,2.8,0.6000000000000001,0.5,72.0,5392.0,0.015,4m,1.0,1.0,1.5,448.0,7968.0,0.015,5m,1.4,0.2,1.5,64.0,2520.0,0.02,2m,1.4,1.0,2.0,904.0,6848.0,0.01,2m,1.2,1.0,0.5,1000.0,2128.0,0.01,3m,2.8,0.4,1.0,344.0,5800.0,0.01,2m,2.2,0.0,0.5,152.0,5704.0,0.01,3m,1.8,1.0,1.5,1000.0,1448.0,0.02,4m,2.2,1.0,1.0,600.0,8088.0,0.01,4m,2.2,0.2,2.0,304.0,6912.0,0.02,2m,3.0,0.6000000000000001,2.0,120.0,5552.0,0.01,1m,1.0,0.2,2.0,704.0,4968,0.02,2m,3.0,1.0,1.0,1024,1416.0,0.02,3m,2.0,1.0,0.5,64.0,0.15000000000000002,20,COMPLETE
11,11,0.7097548966167668,2025-06-21 19:05:30.654338,2025-06-21 19:05:36.622958,0 days 00:00:05.968620,8136.0,0.02,2m,3.0,0.0,2.0,928.0,,,,,,,,,,,,,,,,,,,,,,1136.0,0.01,4m,1.8,0.4,2.0,960.0,4800.0,0.02,4m,1.8,0.0,1.5,136.0,4016.0,0.02,4m,1.2,0.0,1.0,864.0,4688.0,0.01,3m,1.6,1.0,1.5,64.0,6232.0,0.015,2m,1.6,0.6000000000000001,0.5,736.0,,,,,,,,4976.0,0.01,4m,1.6,0.4,2.0,1016.0,,,,,,,,2464.0,0.01,2m,1.2,0.4,1.0,96.0,4056.0,0.02,5m,1.0,0.0,1.5,1016.0,3248.0,0.015,4m,3.0,0.8,2.0,672.0,7480.0,0.01,4m,1.8,0.0,1.0,416.0,4280.0,0.02,2m,3.0,0.0,0.5,320.0,4712.0,0.015,1m,2.0,0.4,0.5,72.0,3240,0.01,2m,2.8,0.4,1.0,936,7488.0,0.02,3m,1.8,0.2,1.0,1024.0,0.05,15,COMPLETE
12,12,-1.911574745308611,2025-06-21 19:05:36.721945,2025-06-21 19:05:43.166123,0 days 00:00:06.444178,8176.0,0.02,2m,3.0,0.0,2.0,1008.0,,,,,,,,,,,,,,,,,,,,,,2344.0,0.015,4m,2.0,0.4,1.5,992.0,4760.0,0.02,4m,1.8,0.0,1.5,64.0,4032.0,0.02,4m,1.2,0.0,1.0,968.0,4272.0,0.01,3m,1.4,1.0,1.5,72.0,6800.0,0.015,1m,1.6,0.6000000000000001,0.5,704.0,,,,,,,,5048.0,0.01,4m,1.6,0.4,2.0,992.0,,,,,,,,2656.0,0.01,2m,1.0,0.4,1.0,88.0,4720.0,0.02,5m,1.0,0.0,2.0,784.0,3248.0,0.015,4m,3.0,0.8,2.0,632.0,7992.0,0.01,4m,1.8,0.2,1.0,464.0,4368.0,0.02,2m,3.0,0.0,0.5,328.0,4968.0,0.015,1m,2.2,0.4,0.5,88.0,2544,0.01,2m,3.0,0.0,1.0,1024,7824.0,0.02,3m,1.8,0.2,1.0,1008.0,0.05,15,COMPLETE
13,13,1.6161005124550185,2025-06-21 19:05:43.252377,2025-06-21 19:05:49.661295,0 days 00:00:06.408918,6000.0,0.02,1m,2.4000000000000004,0.2,2.0,440.0,,,,,,,,,,,,,,,,,,,,,,2312.0,0.01,4m,2.2,0.4,1.0,1016.0,4864.0,0.02,5m,2.0,0.2,1.5,280.0,4280.0,0.02,3m,1.4,0.2,1.0,800.0,4712.0,0.015,4m,1.6,0.8,2.0,72.0,8064.0,0.02,2m,1.0,0.8,1.5,816.0,,,,,,,,4384.0,0.01,3m,2.0,0.4,2.0,712.0,,,,,,,,3408.0,0.01,3m,1.0,0.4,1.0,120.0,4640.0,0.02,5m,1.6,0.8,1.5,1016.0,3664.0,0.015,1m,2.6,0.8,2.0,704.0,1184.0,0.015,4m,2.6,0.4,1.0,280.0,1088.0,0.02,5m,2.6,0.2,0.5,448.0,4000.0,0.01,3m,2.2,0.6000000000000001,0.5,336.0,5584,0.01,2m,1.0,0.8,1.5,856,5696.0,0.015,2m,1.6,0.4,1.0,992.0,0.15000000000000002,15,COMPLETE
14,14,-0.25476649022570175,2025-06-21 19:05:49.752482,2025-06-21 19:05:58.217739,0 days 00:00:08.465257,5288.0,0.015,1m,2.2,0.4,1.5,360.0,1928.0,0.02,2m,1.6,1.0,2.0,64.0,6992.0,0.01,1m,1.8,0.8,0.5,384.0,4976.0,0.01,3m,1.8,0.0,1.5,552.0,2544.0,0.01,4m,3.0,0.4,1.0,368.0,7520.0,0.01,5m,2.4000000000000004,0.4,1.0,416.0,5504.0,0.01,3m,1.8,0.4,2.0,616.0,6232.0,0.015,4m,2.8,0.8,2.0,272.0,8032.0,0.02,3m,1.0,1.0,1.5,872.0,7944.0,0.01,3m,3.0,0.0,0.5,144.0,3800.0,0.02,3m,2.2,0.6000000000000001,1.5,656.0,7720.0,0.02,1m,1.0,1.0,2.0,1008.0,4232.0,0.015,3m,2.4000000000000004,0.6000000000000001,2.0,984.0,5504.0,0.01,5m,1.6,1.0,1.0,752.0,4600.0,0.015,1m,2.4000000000000004,1.0,1.0,424.0,1504.0,0.015,3m,2.8,0.4,2.0,240.0,1304.0,0.01,5m,2.2,0.4,1.0,1000.0,3672.0,0.01,3m,2.4000000000000004,0.8,1.5,384.0,5936,0.02,2m,1.0,0.8,1.5,808,4840.0,0.015,2m,1.2,0.8,0.5,64.0,0.2,20,COMPLETE
15,15,0.9678702198034111,2025-06-21 19:05:58.316018,2025-06-21 19:06:03.672653,0 days 00:00:05.356635,5288.0,0.015,4m,2.2,0.4,1.5,440.0,,,,,,,,,,,,,,,,,,,,,,2392.0,0.015,3m,2.4000000000000004,0.8,1.0,1000.0,2968.0,0.015,3m,1.0,0.4,2.0,424.0,3040.0,0.015,2m,2.0,0.4,0.5,592.0,3984.0,0.015,4m,1.8,0.8,2.0,392.0,8152.0,0.02,5m,1.2,0.8,1.5,528.0,,,,,,,,3832.0,0.01,3m,2.0,0.2,0.5,784.0,,,,,,,,,,,,,,,6472.0,0.02,3m,1.6,0.8,2.0,440.0,1064.0,0.02,1m,1.8,0.4,2.0,808.0,1128.0,0.015,1m,2.4000000000000004,0.4,1.0,80.0,,,,,,,,6392.0,0.01,5m,1.6,0.8,2.0,368.0,7672,0.01,3m,1.2,0.8,1.5,864,4832.0,0.015,2m,2.6,0.4,1.0,680.0,0.15000000000000002,13,COMPLETE
16,16,-1.0340148343455167,2025-06-21 19:06:03.756530,2025-06-21 19:06:09.350971,0 days 00:00:05.594441,5216.0,0.015,4m,2.0,1.0,1.0,640.0,,,,,,,,,,,,,,,,,,,,,,4704.0,0.015,3m,2.2,1.0,1.0,984.0,1784.0,0.02,3m,1.0,1.0,2.0,392.0,2208.0,0.015,2m,1.8,1.0,0.5,672.0,3816.0,0.015,4m,1.4,0.8,2.0,472.0,8104.0,0.02,5m,1.2,0.8,1.5,512.0,,,,,,,,6376.0,0.01,3m,1.6,0.0,0.5,520.0,,,,,,,,,,,,,,,6864.0,0.02,3m,2.2,0.8,1.5,424.0,3848.0,0.01,1m,1.6,0.4,2.0,784.0,1136.0,0.015,1m,2.6,0.4,1.0,64.0,,,,,,,,6776.0,0.01,5m,1.6,0.6000000000000001,1.0,632.0,7840,0.01,3m,1.4,0.8,2.0,680,4136.0,0.015,2m,2.6,0.4,1.5,800.0,0.3,13,COMPLETE
17,17,0.5171314394109574,2025-06-21 19:06:09.433962,2025-06-21 19:06:15.330152,0 days 00:00:05.896190,3816.0,0.01,5m,2.2,0.6000000000000001,1.5,272.0,,,,,,,,,,,,,,,,,,,,,,2472.0,0.02,3m,2.2,0.8,1.0,872.0,3120.0,0.01,3m,3.0,0.6000000000000001,2.0,320.0,2808.0,0.01,3m,1.6,0.6000000000000001,0.5,760.0,3512.0,0.015,4m,1.0,0.8,2.0,408.0,4296.0,0.02,5m,1.0,0.8,1.0,432.0,,,,,,,,4440.0,0.02,3m,2.0,0.2,2.0,760.0,,,,,,,,,,,,,,,4904.0,0.02,3m,1.6,0.8,0.5,400.0,2528.0,0.015,1m,1.8,0.4,2.0,816.0,2152.0,0.02,1m,2.4000000000000004,0.4,1.0,168.0,,,,,,,,6176.0,0.01,3m,2.6,1.0,1.5,456.0,7392,0.01,3m,1.2,1.0,1.5,872,5072.0,0.015,2m,2.4000000000000004,0.4,1.0,768.0,0.2,13,COMPLETE
18,18,1.6661678989141357,2025-06-21 19:06:15.421158,2025-06-21 19:06:20.893490,0 days 00:00:05.472332,6232.0,0.015,1m,1.8,0.4,1.5,728.0,,,,,,,,,,,,,,,,,,,,,,3696.0,0.015,2m,2.2,0.2,0.5,880.0,3680.0,0.015,1m,1.2,0.4,1.0,592.0,8136.0,0.015,5m,1.0,0.4,1.5,440.0,5120.0,0.015,4m,1.8,0.8,2.0,552.0,5600.0,0.02,2m,1.2,1.0,2.0,640.0,,,,,,,,5856.0,0.01,3m,2.0,0.2,1.5,96.0,,,,,,,,,,,,,,,3600.0,0.01,1m,2.0,1.0,2.0,424.0,5472.0,0.02,1m,1.6,0.2,0.5,744.0,2392.0,0.015,1m,3.0,0.8,1.0,304.0,,,,,,,,8096.0,0.01,5m,1.8,0.6000000000000001,0.5,272.0,5304,0.01,1m,1.6,0.8,1.5,664,2952.0,0.015,2m,2.4000000000000004,0.2,1.5,792.0,0.1,13,COMPLETE
