,number,value,datetime_start,datetime_complete,duration,params_AEP_JD_beta_win,params_AEP_JD_stop_loss,params_AEP_JD_trade_freq,params_AEP_JD_z_entry,params_AEP_JD_z_exit,params_AEP_JD_z_stop_scaler,params_AEP_JD_z_win,params_AMGN_JD_beta_win,params_AMGN_JD_stop_loss,params_AMGN_JD_trade_freq,params_AMGN_JD_z_entry,params_AMGN_JD_z_exit,params_AMGN_JD_z_stop_scaler,params_AMGN_JD_z_win,params_CHTR_MTCH_beta_win,params_CHTR_MTCH_stop_loss,params_CHTR_MTCH_trade_freq,params_CHTR_MTCH_z_entry,params_CHTR_MTCH_z_exit,params_CHTR_MTCH_z_stop_scaler,params_CHTR_MTCH_z_win,params_DDOG_GOOGL_beta_win,params_DDOG_GOOGL_stop_loss,params_DDOG_GOOGL_trade_freq,params_DDOG_GOOGL_z_entry,params_DDOG_GOOGL_z_exit,params_DDOG_GOOGL_z_stop_scaler,params_DDOG_GOOGL_z_win,params_DDOG_GOOG_beta_win,params_DDOG_GOOG_stop_loss,params_DDOG_GOOG_trade_freq,params_DDOG_GOOG_z_entry,params_DDOG_GOOG_z_exit,params_DDOG_GOOG_z_stop_scaler,params_DDOG_GOOG_z_win,params_GOOGL_WDAY_beta_win,params_GOOGL_WDAY_stop_loss,params_GOOGL_WDAY_trade_freq,params_GOOGL_WDAY_z_entry,params_GOOGL_WDAY_z_exit,params_GOOGL_WDAY_z_stop_scaler,params_GOOGL_WDAY_z_win,params_GOOG_WDAY_beta_win,params_GOOG_WDAY_stop_loss,params_GOOG_WDAY_trade_freq,params_GOOG_WDAY_z_entry,params_GOOG_WDAY_z_exit,params_GOOG_WDAY_z_stop_scaler,params_GOOG_WDAY_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_OKTA_SWKS_beta_win,params_OKTA_SWKS_stop_loss,params_OKTA_SWKS_trade_freq,params_OKTA_SWKS_z_entry,params_OKTA_SWKS_z_exit,params_OKTA_SWKS_z_stop_scaler,params_OKTA_SWKS_z_win,params_ORLY_SIRI_beta_win,params_ORLY_SIRI_stop_loss,params_ORLY_SIRI_trade_freq,params_ORLY_SIRI_z_entry,params_ORLY_SIRI_z_exit,params_ORLY_SIRI_z_stop_scaler,params_ORLY_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
46,46,1.045889260842984,2025-06-22 17:01:08.984205,2025-06-22 17:01:12.156896,0 days 00:00:03.172691,,,,,,,,8192.0,0.04,9m,1.0,0.2,1.5,240.0,3144,0.01,5m,1.2,0.6000000000000001,1.5,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480.0,0.02,7m,1.4,0.6000000000000001,2.0,504.0,0.15000000000000002,3,COMPLETE
47,47,0.9972557328846336,2025-06-22 17:01:12.181894,2025-06-22 17:01:14.456279,0 days 00:00:02.274385,,,,,,,,,,,,,,,3112,0.01,5m,1.2,0.6000000000000001,1.5,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1488.0,0.02,7m,1.4,0.6000000000000001,2.0,480.0,0.15000000000000002,2,COMPLETE
48,48,1.0138004984775881,2025-06-22 17:01:14.471976,2025-06-22 17:01:17.771742,0 days 00:00:03.299766,,,,,,,,8160.0,0.04,9m,1.0,0.2,1.5,232.0,1824,0.01,5m,1.2,0.6000000000000001,1.5,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064.0,0.015,7m,1.0,0.4,2.0,368.0,0.2,3,COMPLETE
49,49,1.0589570289463743,2025-06-22 17:01:17.812956,2025-06-22 17:01:21.030019,0 days 00:00:03.217063,,,,,,,,8096.0,0.045000000000000005,9m,1.0,0.2,2.0,256.0,2288,0.01,5m,1.2,0.4,1.5,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568.0,0.02,7m,1.2,0.6000000000000001,2.0,520.0,0.15000000000000002,3,COMPLETE
50,50,1.0162860077548892,2025-06-22 17:01:21.053919,2025-06-22 17:01:23.511242,0 days 00:00:02.457323,,,,,,,,,,,,,,,2424,0.01,5m,1.0,0.4,1.5,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.0,0.02,7m,1.2,0.6000000000000001,2.0,512.0,0.15000000000000002,2,COMPLETE
51,51,1.0380344776009645,2025-06-22 17:01:23.535287,2025-06-22 17:01:26.632095,0 days 00:00:03.096808,,,,,,,,8032.0,0.045000000000000005,9m,1.0,0.2,2.0,264.0,2112,0.01,5m,1.2,0.4,1.5,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1376.0,0.015,7m,1.4,0.6000000000000001,2.0,568.0,0.25,3,COMPLETE
52,52,1.0795160591045905,2025-06-22 17:01:26.664126,2025-06-22 17:01:29.815531,0 days 00:00:03.151405,,,,,,,,7296.0,0.045000000000000005,9m,1.0,0.2,2.0,128.0,1472,0.015,5m,1.0,0.6000000000000001,1.5,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2352.0,0.02,7m,1.2,0.4,2.0,424.0,0.2,3,COMPLETE
53,53,0.9880903939315547,2025-06-22 17:01:29.863979,2025-06-22 17:01:32.397013,0 days 00:00:02.533034,,,,,,,,,,,,,,,3552,0.015,5m,1.0,0.6000000000000001,1.5,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2808.0,0.02,7m,1.2,0.4,2.0,408.0,0.15000000000000002,2,COMPLETE
54,54,0.9803905045528349,2025-06-22 17:01:32.420823,2025-06-22 17:01:35.760753,0 days 00:00:03.339930,,,,,,,,7304.0,0.045000000000000005,9m,1.0,0.2,2.0,344.0,2640,0.01,5m,1.2,0.6000000000000001,1.5,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2376.0,0.015,7m,1.0,0.4,2.0,464.0,0.2,3,COMPLETE
55,55,1.052442239761544,2025-06-22 17:01:35.789690,2025-06-22 17:01:38.991084,0 days 00:00:03.201394,,,,,,,,7336.0,0.05,9m,1.2,0.2,2.0,136.0,3160,0.015,5m,1.4,0.6000000000000001,1.5,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096.0,0.025,7m,1.2,0.6000000000000001,2.0,392.0,0.2,3,COMPLETE
56,56,0.959262069118002,2025-06-22 17:01:39.017676,2025-06-22 17:01:41.474163,0 days 00:00:02.456487,,,,,,,,,,,,,,,3192,0.015,5m,1.4,0.4,1.5,816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184.0,0.025,7m,1.0,0.2,2.0,344.0,0.2,2,COMPLETE
57,57,1.0106474557297263,2025-06-22 17:01:41.525333,2025-06-22 17:01:43.208400,0 days 00:00:01.683067,,,,,,,,,,,,,,,1416,0.015,5m,1.4,0.6000000000000001,1.5,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
58,58,1.0454702757157817,2025-06-22 17:01:43.234403,2025-06-22 17:01:46.332301,0 days 00:00:03.097898,,,,,,,,7360.0,0.05,9m,1.2,0.4,2.0,128.0,4160,0.015,5m,1.0,0.4,1.5,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576.0,0.025,7m,1.4,0.6000000000000001,2.0,432.0,0.2,3,COMPLETE
59,59,1.0142947942315272,2025-06-22 17:01:46.365019,2025-06-22 17:01:49.450121,0 days 00:00:03.085102,,,,,,,,7240.0,0.05,9m,1.2,0.2,2.0,184.0,2768,0.02,5m,1.2,0.6000000000000001,1.5,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.0,0.03,7m,1.2,0.4,2.0,264.0,0.1,3,COMPLETE
60,60,1.069458915075094,2025-06-22 17:01:49.473435,2025-06-22 17:01:53.295642,0 days 00:00:03.822207,,,,,,,,7760.0,0.045000000000000005,9m,1.0,0.4,2.0,128.0,1944,0.01,9m,1.0,0.6000000000000001,1.5,672,1376.0,0.025,5m,2.6,0.8,1.5,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1768.0,0.01,8m,1.4,0.6000000000000001,2.0,392.0,0.15000000000000002,4,COMPLETE
61,61,1.088164831607878,2025-06-22 17:01:53.338255,2025-06-22 17:01:57.268281,0 days 00:00:03.930026,,,,,,,,7712.0,0.045000000000000005,9m,1.0,0.4,2.0,128.0,3576,0.01,9m,1.0,0.6000000000000001,1.5,672,1328.0,0.025,5m,2.8,0.8,1.5,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728.0,0.01,8m,1.4,0.6000000000000001,2.0,392.0,0.15000000000000002,4,COMPLETE
62,62,1.09317916891205,2025-06-22 17:01:57.318500,2025-06-22 17:02:01.399610,0 days 00:00:04.081110,,,,,,,,7664.0,0.045000000000000005,9m,1.0,0.4,2.0,128.0,1792,0.01,9m,1.0,0.6000000000000001,1.5,656,1328.0,0.025,5m,2.8,0.8,1.5,488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744.0,0.01,8m,1.6,0.6000000000000001,2.0,392.0,0.15000000000000002,4,COMPLETE
63,63,1.0815606790296122,2025-06-22 17:02:01.433998,2025-06-22 17:02:05.314515,0 days 00:00:03.880517,,,,,,,,7688.0,0.045000000000000005,9m,1.0,0.4,2.0,176.0,1736,0.01,9m,1.0,0.6000000000000001,1.5,552,1024.0,0.025,5m,2.8,0.8,1.5,488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784.0,0.01,8m,1.6,0.4,2.0,320.0,0.15000000000000002,4,COMPLETE
64,64,1.092915022065801,2025-06-22 17:02:05.339402,2025-06-22 17:02:09.176769,0 days 00:00:03.837367,,,,,,,,7728.0,0.045000000000000005,9m,1.0,0.4,2.0,200.0,1800,0.01,9m,1.0,0.4,1.5,552,1032.0,0.025,5m,2.8,0.8,1.5,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1808.0,0.01,8m,1.6,0.4,2.0,232.0,0.15000000000000002,4,COMPLETE
65,65,1.0702540395094524,2025-06-22 17:02:09.200280,2025-06-22 17:02:13.199009,0 days 00:00:03.998729,,,,,,,,7688.0,0.045000000000000005,9m,1.0,0.4,2.0,200.0,1640,0.01,9m,1.0,0.8,1.5,544,1136.0,0.025,5m,2.8,0.8,1.5,496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2504.0,0.01,8m,1.6,0.4,2.0,208.0,0.1,4,COMPLETE
66,66,1.0798815548561544,2025-06-22 17:02:13.222751,2025-06-22 17:02:16.977294,0 days 00:00:03.754543,,,,,,,,7640.0,0.045000000000000005,9m,1.0,0.4,2.0,200.0,1640,0.01,9m,1.0,0.8,1.5,552,1056.0,0.02,5m,3.0,0.8,1.5,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2464.0,0.01,8m,1.6,0.4,2.0,216.0,0.1,4,COMPLETE
67,67,1.0114202698033148,2025-06-22 17:02:17.009119,2025-06-22 17:02:20.898529,0 days 00:00:03.889410,,,,,,,,6688.0,0.045000000000000005,9m,1.2,0.4,2.0,304.0,1288,0.01,9m,1.0,0.8,1.5,472,1664.0,0.02,5m,3.0,0.8,1.5,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3176.0,0.01,8m,1.6,0.2,2.0,232.0,0.1,4,COMPLETE
68,68,1.075985410106912,2025-06-22 17:02:20.927556,2025-06-22 17:02:26.246488,0 days 00:00:05.318932,,,,,,,,7504.0,0.05,9m,1.0,0.4,2.0,176.0,1712,0.01,9m,1.0,0.8,2.0,400,2216.0,0.02,5m,2.8,1.0,1.5,544.0,6256.0,0.01,4m,1.4,0.2,2.0,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2720.0,0.01,8m,1.6,0.4,2.0,336.0,0.1,5,COMPLETE
69,69,1.033871723103886,2025-06-22 17:02:26.274468,2025-06-22 17:02:30.465825,0 days 00:00:04.191357,,,,,,,,7864.0,0.045000000000000005,9m,1.2,0.4,2.0,192.0,1528,0.015,9m,1.0,0.4,1.5,568,1048.0,0.03,5m,2.8,0.8,1.5,384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2344.0,0.01,8m,1.6,0.4,2.0,152.0,0.15000000000000002,4,COMPLETE
70,70,1.0004669701972475,2025-06-22 17:02:30.506057,2025-06-22 17:02:35.228830,0 days 00:00:04.722773,,,,,,,,6992.0,0.045000000000000005,3m,1.0,0.6000000000000001,2.0,280.0,1168,0.01,9m,1.0,0.8,1.5,616,1536.0,0.02,5m,2.6,1.0,2.0,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1776.0,0.015,8m,1.8,0.4,2.0,288.0,0.1,4,COMPLETE
71,71,1.0526822145805392,2025-06-22 17:02:35.260510,2025-06-22 17:02:40.440871,0 days 00:00:05.180361,,,,,,,,7496.0,0.05,9m,1.0,0.4,2.0,168.0,1816,0.01,9m,1.0,0.8,2.0,424,2072.0,0.02,5m,2.8,1.0,1.5,536.0,6416.0,0.01,4m,1.4,0.2,2.0,792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2720.0,0.01,8m,1.6,0.4,2.0,336.0,0.1,5,COMPLETE
72,72,1.0423642149346177,2025-06-22 17:02:40.491940,2025-06-22 17:02:45.237752,0 days 00:00:04.745812,,,,,,,,7560.0,0.05,9m,1.0,0.4,2.0,208.0,2016,0.01,9m,1.0,0.8,2.0,336,2160.0,0.025,5m,3.0,0.8,1.5,568.0,7656.0,0.015,6m,1.2,0.0,2.0,992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2080.0,0.01,8m,1.6,0.4,2.0,256.0,0.15000000000000002,5,COMPLETE
73,73,1.0857329349539928,2025-06-22 17:02:45.316246,2025-06-22 17:02:50.477963,0 days 00:00:05.161717,,,,,,,,6320.0,0.05,9m,1.2,0.4,2.0,168.0,1720,0.01,9m,1.0,0.6000000000000001,2.0,520,1368.0,0.015,5m,2.8,1.0,1.5,528.0,6368.0,0.015,4m,1.0,0.2,2.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2920.0,0.01,8m,1.8,0.2,2.0,320.0,0.15000000000000002,5,COMPLETE
74,74,1.076664594669118,2025-06-22 17:02:50.515844,2025-06-22 17:02:54.457554,0 days 00:00:03.941710,,,,,,,,7200.0,0.04,9m,1.2,0.4,2.0,160.0,1392,0.015,9m,1.0,0.6000000000000001,2.0,536,1360.0,0.015,5m,2.6,0.8,1.5,368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872.0,0.015,8m,1.8,0.0,2.0,160.0,0.2,4,COMPLETE
75,75,1.0496990105479171,2025-06-22 17:02:54.500125,2025-06-22 17:02:59.708745,0 days 00:00:05.208620,,,,,,,,6384.0,0.045000000000000005,6m,1.2,0.6000000000000001,2.0,208.0,1064,0.01,9m,1.2,0.6000000000000001,1.5,512,1856.0,0.015,5m,3.0,0.6000000000000001,1.5,432.0,7632.0,0.02,6m,1.0,0.4,2.0,568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1864.0,0.01,8m,1.4,0.2,2.0,304.0,0.15000000000000002,5,COMPLETE
76,76,1.0078687900432968,2025-06-22 17:02:59.731486,2025-06-22 17:03:03.858061,0 days 00:00:04.126575,,,,,,,,7904.0,0.05,9m,1.0,0.4,2.0,320.0,1920,0.015,9m,1.0,0.6000000000000001,1.5,592,1312.0,0.025,5m,2.4000000000000004,1.0,1.5,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3272.0,0.015,8m,1.8,0.2,2.0,192.0,0.15000000000000002,4,COMPLETE
77,77,1.0513886132640486,2025-06-22 17:03:03.885976,2025-06-22 17:03:10.586790,0 days 00:00:06.700814,,,,,,,,6776.0,0.045000000000000005,4m,1.4,0.6000000000000001,2.0,272.0,2424,0.01,9m,1.0,0.4,2.0,464,1680.0,0.025,5m,2.8,0.8,2.0,456.0,5704.0,0.015,4m,1.0,0.0,1.5,856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520.0,0.01,2m,1.6,0.4,1.5,264.0,0.2,5,COMPLETE
78,78,1.0082981084738352,2025-06-22 17:03:10.625455,2025-06-22 17:03:14.338130,0 days 00:00:03.712675,,,,,,,,7120.0,0.05,9m,1.0,0.4,1.5,392.0,1536,0.015,9m,1.2,0.6000000000000001,1.5,616,1168.0,0.01,8m,2.8,0.8,1.5,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240.0,0.015,8m,1.4,0.4,2.0,352.0,0.1,4,COMPLETE
79,79,1.0357366875762108,2025-06-22 17:03:14.363017,2025-06-22 17:03:18.800060,0 days 00:00:04.437043,,,,,,,,7760.0,0.04,9m,1.2,0.4,2.0,160.0,2128,0.01,4m,1.2,0.6000000000000001,1.0,576,1048.0,0.03,5m,2.4000000000000004,1.0,1.5,664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3008.0,0.01,8m,1.8,0.0,2.0,312.0,0.25,4,COMPLETE
80,80,1.106124223415635,2025-06-22 17:03:18.825576,2025-06-22 17:03:26.732947,0 days 00:00:07.907371,2760.0,0.03,2m,2.0,0.2,1.5,896.0,6360.0,0.045000000000000005,7m,1.0,0.4,2.0,232.0,1208,0.02,9m,1.0,0.4,1.5,656,2416.0,0.015,2m,2.6,0.6000000000000001,2.0,256.0,5056.0,0.025,9m,2.0,0.2,2.0,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744.0,0.01,5m,1.4,0.2,1.5,448.0,0.15000000000000002,6,COMPLETE
81,81,1.0820283557236965,2025-06-22 17:03:26.787508,2025-06-22 17:03:33.733950,0 days 00:00:06.946442,2784.0,0.03,2m,2.0,0.2,1.5,880.0,5968.0,0.045000000000000005,7m,1.0,0.4,2.0,232.0,1712,0.015,9m,1.0,0.4,1.5,648,2392.0,0.015,5m,2.6,0.6000000000000001,2.0,224.0,4968.0,0.025,9m,2.0,0.2,2.0,728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1736.0,0.01,5m,1.4,0.2,1.5,448.0,0.15000000000000002,6,COMPLETE
82,82,1.0891613663313706,2025-06-22 17:03:33.765967,2025-06-22 17:03:41.700353,0 days 00:00:07.934386,2568.0,0.03,2m,2.0,0.2,1.5,872.0,6008.0,0.045000000000000005,7m,1.0,0.4,2.0,232.0,1288,0.02,9m,1.0,0.4,1.5,648,1504.0,0.015,2m,2.6,0.6000000000000001,2.0,248.0,5304.0,0.025,9m,2.0,0.2,2.0,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272.0,0.01,5m,1.4,0.2,1.5,448.0,0.15000000000000002,6,COMPLETE
83,83,1.0851567557690336,2025-06-22 17:03:41.737349,2025-06-22 17:03:49.723525,0 days 00:00:07.986176,2904.0,0.03,2m,2.0,0.2,1.5,888.0,6048.0,0.04,7m,1.2,0.4,2.0,264.0,1240,0.02,9m,1.0,0.4,1.5,640,2496.0,0.015,2m,2.6,0.6000000000000001,2.0,208.0,5144.0,0.025,9m,2.0,0.2,2.0,728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312.0,0.01,5m,1.4,0.2,1.5,448.0,0.15000000000000002,6,COMPLETE
84,84,1.0683621749946888,2025-06-22 17:03:49.759130,2025-06-22 17:03:57.823970,0 days 00:00:08.064840,2768.0,0.03,2m,2.0,0.2,1.5,912.0,5928.0,0.04,7m,1.2,0.4,2.0,368.0,1248,0.02,9m,1.2,0.2,1.5,648,2472.0,0.015,2m,2.6,0.6000000000000001,2.0,216.0,5056.0,0.025,9m,2.0,0.2,2.0,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1256.0,0.01,5m,1.4,0.2,1.5,456.0,0.15000000000000002,6,COMPLETE
85,85,1.021685365915558,2025-06-22 17:03:57.853490,2025-06-22 17:04:09.381807,0 days 00:00:11.528317,2648.0,0.025,2m,2.0,0.2,1.5,880.0,5984.0,0.035,7m,1.2,0.4,2.0,232.0,1072,0.02,6m,1.0,0.4,1.5,648,1912.0,0.01,2m,2.6,0.6000000000000001,2.0,200.0,6008.0,0.02,9m,2.0,0.2,2.0,744.0,8192.0,0.03,2m,2.6,0.6000000000000001,0.5,128.0,4144.0,0.025,3m,2.0,0.6000000000000001,1.5,584.0,,,,,,,,,,,,,,,1320.0,0.015,5m,1.4,0.2,1.5,384.0,0.15000000000000002,8,COMPLETE
86,86,1.0515302802976962,2025-06-22 17:04:09.419478,2025-06-22 17:04:17.232112,0 days 00:00:07.812634,1848.0,0.035,2m,2.2,0.0,1.5,944.0,6424.0,0.04,7m,1.4,0.6000000000000001,2.0,296.0,1360,0.02,9m,1.2,0.4,1.5,696,2392.0,0.015,2m,2.4000000000000004,0.6000000000000001,2.0,264.0,5120.0,0.03,9m,1.8,0.2,2.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696.0,0.01,5m,1.4,0.0,1.5,440.0,0.2,6,COMPLETE
87,87,1.053082883677104,2025-06-22 17:04:17.267267,2025-06-22 17:04:27.428132,0 days 00:00:10.160865,3088.0,0.03,2m,1.8,0.2,1.5,832.0,6136.0,0.05,7m,1.2,0.4,2.0,248.0,2288,0.02,2m,1.0,0.4,1.5,624,1472.0,0.015,2m,2.6,0.6000000000000001,2.0,168.0,6648.0,0.025,9m,2.0,0.4,2.0,744.0,5184.0,0.04,5m,2.4000000000000004,0.8,1.5,304.0,,,,,,,,,,,,,,,,,,,,,,1912.0,0.015,5m,1.4,0.2,1.5,488.0,0.15000000000000002,7,COMPLETE
88,88,1.0267241239994378,2025-06-22 17:04:27.472297,2025-06-22 17:04:35.924842,0 days 00:00:08.452545,1040.0,0.025,2m,2.4000000000000004,0.2,1.5,744.0,5416.0,0.045000000000000005,7m,1.0,0.6000000000000001,2.0,224.0,1928,0.02,9m,1.2,0.4,1.5,520,8120.0,0.015,2m,2.4000000000000004,0.6000000000000001,2.0,304.0,5744.0,0.02,9m,1.8,0.0,2.0,584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240.0,0.01,5m,2.8,0.2,1.5,552.0,0.15000000000000002,6,COMPLETE
89,89,0.9802802382942314,2025-06-22 17:04:35.958842,2025-06-22 17:04:45.805561,0 days 00:00:09.846719,2064.0,0.035,2m,2.0,0.0,1.5,840.0,5664.0,0.04,7m,1.0,0.4,1.5,280.0,3568,0.025,3m,1.0,0.4,1.0,664,2984.0,0.01,2m,2.6,0.6000000000000001,2.0,224.0,4936.0,0.025,9m,1.6,0.2,2.0,696.0,6376.0,0.045000000000000005,4m,1.6,0.2,1.0,896.0,,,,,,,,,,,,,,,,,,,,,,2088.0,0.015,5m,1.4,0.2,1.5,464.0,0.15000000000000002,7,COMPLETE
90,90,1.0145743893832364,2025-06-22 17:04:45.837405,2025-06-22 17:04:54.008155,0 days 00:00:08.170750,3296.0,0.03,2m,2.0,0.4,2.0,680.0,6512.0,0.045000000000000005,7m,1.2,0.4,2.0,512.0,1304,0.02,9m,1.2,0.2,2.0,144,1832.0,0.01,3m,2.8,0.6000000000000001,2.0,272.0,4520.0,0.03,9m,2.2,0.4,2.0,640.0,3976.0,0.03,8m,1.0,0.4,2.0,632.0,,,,,,,,,,,,,,,,,,,,,,1024.0,0.01,5m,1.6,0.0,1.5,416.0,0.1,7,COMPLETE
91,91,1.096191529175938,2025-06-22 17:04:54.059732,2025-06-22 17:05:02.295868,0 days 00:00:08.236136,2304.0,0.02,2m,2.4000000000000004,0.2,1.5,960.0,5928.0,0.045000000000000005,7m,1.0,0.4,2.0,184.0,1680,0.025,9m,1.0,0.4,1.5,592,1616.0,0.02,2m,2.8,0.8,2.0,160.0,5360.0,0.015,9m,2.0,0.0,2.0,896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.0,0.01,5m,1.6,0.2,1.5,392.0,0.15000000000000002,6,COMPLETE
92,92,1.0701631339331117,2025-06-22 17:05:02.328126,2025-06-22 17:05:10.247837,0 days 00:00:07.919711,2304.0,0.02,2m,2.4000000000000004,0.2,1.5,968.0,5904.0,0.045000000000000005,7m,1.0,0.4,2.0,152.0,1616,0.025,9m,1.0,0.4,1.5,600,1584.0,0.015,2m,2.8,0.8,2.0,136.0,5368.0,0.015,9m,2.0,0.0,2.0,904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1592.0,0.01,5m,1.6,0.2,1.5,360.0,0.15000000000000002,6,COMPLETE
93,93,1.017245357988166,2025-06-22 17:05:10.295196,2025-06-22 17:05:18.601859,0 days 00:00:08.306663,1696.0,0.025,2m,2.2,0.2,1.5,1024.0,5320.0,0.04,7m,1.0,0.4,2.0,216.0,1032,0.025,9m,1.0,0.4,1.5,624,2512.0,0.015,2m,2.6,0.4,2.0,184.0,6024.0,0.02,9m,1.8,0.0,2.0,776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952.0,0.01,5m,1.4,0.2,1.5,400.0,0.15000000000000002,6,COMPLETE
94,94,1.0933505694825616,2025-06-22 17:05:18.626655,2025-06-22 17:05:24.815593,0 days 00:00:06.188938,3120.0,0.035,8m,1.8,0.0,1.5,936.0,6240.0,0.05,7m,1.0,0.4,2.0,256.0,1856,0.025,9m,1.2,0.4,1.5,576,2224.0,0.02,4m,3.0,0.6000000000000001,2.0,232.0,4400.0,0.015,9m,2.2,0.2,2.0,680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672.0,0.01,5m,1.8,0.2,1.5,600.0,0.2,6,COMPLETE
95,95,1.0420680046788313,2025-06-22 17:05:24.845819,2025-06-22 17:05:31.467564,0 days 00:00:06.621745,4152.0,0.035,8m,1.8,0.0,1.5,960.0,6264.0,0.05,7m,1.2,0.4,2.0,264.0,1816,0.03,9m,1.2,0.4,1.5,488,2064.0,0.02,4m,3.0,0.8,2.0,240.0,4376.0,0.015,9m,2.2,0.2,2.0,664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1376.0,0.015,3m,1.8,0.2,1.5,376.0,0.2,6,COMPLETE
96,96,1.096655765268407,2025-06-22 17:05:31.519508,2025-06-22 17:05:36.731116,0 days 00:00:05.211608,,,,,,,,6856.0,0.05,7m,1.0,0.6000000000000001,2.0,184.0,2120,0.025,9m,1.2,0.4,1.5,576,1704.0,0.02,4m,3.0,0.6000000000000001,2.0,160.0,4672.0,0.015,9m,2.4000000000000004,0.4,2.0,848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1592.0,0.01,5m,2.0,0.2,1.5,608.0,0.2,5,COMPLETE
97,97,1.0859050369720862,2025-06-22 17:05:36.761060,2025-06-22 17:05:43.804064,0 days 00:00:07.043004,,,,,,,,6840.0,0.05,7m,1.0,0.6000000000000001,1.5,184.0,2936,0.025,4m,1.2,0.4,1.5,568,1344.0,0.02,4m,3.0,0.4,2.0,160.0,3496.0,0.01,2m,2.4000000000000004,0.4,2.0,856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1624.0,0.01,4m,2.0,0.2,1.5,616.0,0.2,5,COMPLETE
98,98,1.0324730759114071,2025-06-22 17:05:43.831237,2025-06-22 17:05:50.850857,0 days 00:00:07.019620,,,,,,,,6808.0,0.05,7m,1.0,0.6000000000000001,1.5,192.0,2552,0.025,4m,1.2,0.4,1.5,576,1312.0,0.02,4m,3.0,0.6000000000000001,2.0,160.0,3472.0,0.01,2m,2.4000000000000004,0.4,2.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1624.0,0.01,4m,2.0,0.2,1.5,592.0,0.2,5,COMPLETE
99,99,1.0791402910189032,2025-06-22 17:05:50.879678,2025-06-22 17:05:57.706043,0 days 00:00:06.826365,,,,,,,,6648.0,0.05,7m,1.0,0.6000000000000001,2.0,144.0,2848,0.025,9m,1.4,0.2,1.5,592,1736.0,0.02,4m,3.0,0.8,2.0,136.0,3208.0,0.015,2m,2.2,0.4,2.0,912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1176.0,0.01,4m,2.0,0.0,1.5,632.0,0.25,5,COMPLETE
